state,constituency,candidate,party,status,votes,pct_electors,pct_valid
Andhra Pradesh,Araku (ST),AVASHYA LAHARI . VARAM,BSP,N,25750,1.65,2.31
Andhra Pradesh,Araku (ST),KOTHAPALLI GEETHA,BJP,N,426425,27.38,38.28
Andhra Pradesh,Araku (ST),GUMMA THANUJA RANI,YSRCP,S,477005,30.63,42.82
Andhra Pradesh,Araku (ST),ATHIDHI,IND,Z,8136,0.52,0.73
Andhra Pradesh,Srikakulam (GEN),BORUBADRA CHANDRAKALA,BCYP,U,1357,0.08,0.11
Andhra Pradesh,Visakhapatnam (GEN),JHANSI LAKSHMI. BOTCHA.,YSRCP,S,403220,20.88,29.18
Andhra Pradesh,Visakhapatnam (GEN),JALADI VIJAYA KUMARI,SP,S,466,0.02,0.03
Andhra Pradesh,Visakhapatnam (GEN),P. SATYA VANI,PPOI,U,882,0.05,0.06
Andhra Pradesh,Visakhapatnam (GEN),ARUNA SRI MURALA,IND,Z,1993,0.1,0.14
Andhra Pradesh,Visakhapatnam (GEN),MALLA SRAVANI,IND,Z,273,0.01,0.02
Andhra Pradesh,Anakapalle (GEN),VIJAYA LAKSHMI KARRI,PPOI,U,1591,0.1,0.12
Andhra Pradesh,Kakinada (GEN),DR ANUSHA YADAV,BCYP,U,9854,0.6,0.75
Andhra Pradesh,Narsapuram (GEN),UMABALA GUDURI,YSRCP,S,430636,29.22,35.19
Andhra Pradesh,Narsapuram (GEN),GANJI PURNIMA,RPI(A),U,1649,0.11,0.13
Andhra Pradesh,Narsapuram (GEN),RUKHMINI,IND,Z,686,0.05,0.06
Andhra Pradesh,Eluru (GEN),KAVURI LAVANYA,INC,N,20826,1.27,1.53
Andhra Pradesh,Machilipatnam (GEN),DEVAMANI DEVARAPALLI,BSP,N,10028,0.65,0.77
Andhra Pradesh,Machilipatnam (GEN),ANUSHA YERUVA,IND,Z,1235,0.08,0.1
Andhra Pradesh,Machilipatnam (GEN),P. BALASOWRAMMA,IND,Z,1582,0.1,0.12
Andhra Pradesh,Vijayawada (GEN),GUJJULA LALITHA,SUCI,U,327,0.02,0.02
Andhra Pradesh,Vijayawada (GEN),CHINTHALACHERUVU HEMALATHA,JMBP,U,244,0.01,0.02
Andhra Pradesh,Vijayawada (GEN),DATLA LURTHU MERI,JRBP,U,417,0.02,0.03
Andhra Pradesh,Vijayawada (GEN),SYED KHAMURUNNISA,NRCP,U,601,0.04,0.04
Andhra Pradesh,Guntur (GEN),GAYATRI AUDHIPUDI,IND,Z,357,0.02,0.03
Andhra Pradesh,Guntur (GEN),SIVA PARVATHI,IND,Z,266,0.01,0.02
Andhra Pradesh,Bapatla (SC),GADDE. VIJAYA LAKSHMI,IND,Z,1051,0.07,0.08
Andhra Pradesh,Ongole (GEN),ORSU VEENA,JBNP,U,2267,0.14,0.16
Andhra Pradesh,Nandyal (GEN),DR BYREDDY SHABARI,TDP,S,701131,40.66,50.31
Andhra Pradesh,Nandyal (GEN),GOGULA SUGUNAMMA,JMBP,U,379,0.02,0.03
Andhra Pradesh,Nandyal (GEN),CHANDINI REDDY VAKATI,LBCP,U,556,0.03,0.04
Andhra Pradesh,Hindupur (GEN),BHAGYA R S,BSP,N,8015,0.48,0.57
Andhra Pradesh,Hindupur (GEN),J SHANTHA,YSRCP,S,593107,35.76,42.41
Andhra Pradesh,Kadapa (GEN),Y.S. SHARMILA REDDY,INC,N,141039,8.59,10.81
Andhra Pradesh,Thirupathi (SC),M UMADEVI,JAC,U,5425,0.31,0.4
Andhra Pradesh,Thirupathi (SC),VELURU. THEJOVATHI,SP,S,1389,0.08,0.1
"Arunachal Pradesh
1 Arunachal West (GEN)",Thirupathi (SC),TOKO SHEETAL,GNASURKP,U,30530,5.87,7.68
"Assam
1 Kokrajhar (ST)
5",Thirupathi (SC),TRIPTINA RABHA,IND,Z,4540,0.3,0.37
"Assam
1 Kokrajhar (ST)
5",Dhubri (GEN),RADHARANI BISWAS,HSP,U,6287,0.24,0.26
"Assam
1 Kokrajhar (ST)
5",Barpeta (GEN),CHITRALEKHA DAS,SUCI,U,3131,0.16,0.19
"Assam
1 Kokrajhar (ST)
5",Darrang-Udalguri (GEN),SWARNA DEVI,GNASURKP,U,11112,0.5,0.62
"Assam
1 Kokrajhar (ST)
5",Guwahati (GEN),BIJULI KALITA MEDHI,BJP,N,894887,43.87,56.67
"Assam
1 Kokrajhar (ST)
5",Guwahati (GEN),MIRA BORTHAKUR GOSWAMI,INC,N,643797,31.56,40.77
"Assam
1 Kokrajhar (ST)
5",Nagaon (GEN),SIKHA SARMA,IND,Z,6620,0.36,0.43
"Assam
1 Kokrajhar (ST)
5",Kaziranga (GEN),ROSELINA TIRKEY,INC,N,648096,31.56,40.37
"Assam
1 Kokrajhar (ST)
5",Kaziranga (GEN),ANIMA DEKA GUPTA,VPI,U,8673,0.42,0.54
"Assam
1 Kokrajhar (ST)
5",Kaziranga (GEN),DILUWARA BEGUM CHOWDHURY,IND,Z,11743,0.57,0.73
"Assam
1 Kokrajhar (ST)
5",Sonitpur (GEN),RINKU ROY,GNASURKP,U,6823,0.42,0.54
Bihar,,LOVELY ANAND,JD(U),S,476612,25.98,46.48
Bihar,,MAMTA KUMARI,SAP,U,5435,0.3,0.53
Bihar,Katihar (GEN),BINDU KUMARI,SMJSKTP,U,5884,0.32,0.51
Bihar,Purnia (GEN),BIMA BHARTI,RJD,S,27120,1.43,2.31
Bihar,Muzaffarpur (GEN),SABINA KHATOON,INL,U,2453,0.13,0.22
Bihar,Muzaffarpur (GEN),SUNITA KUMARI,BJKVP,U,4792,0.26,0.43
Bihar,Muzaffarpur (GEN),NILIMA KUMARI,IND,Z,7310,0.39,0.66
Bihar,Vaishali (GEN),VEENA DEVI,LJPRV,S,567043,30.29,49.54
Bihar,Vaishali (GEN),ABHA RAY,PPID,U,3274,0.17,0.29
Bihar,Siwan (GEN),VIJAYLAKSHMI DEVI,JD(U),S,386508,20.32,39.8
Bihar,Siwan (GEN),HENA SHAHAB,IND,Z,293651,15.44,30.24
Bihar,Saran (GEN),ROHINI ACHARYA,RJD,S,458091,25.44,45.35
Bihar,Saran (GEN),ARTI KUMARI,IND,Z,3023,0.17,0.3
Bihar,Ujiarpur (GEN),NIKKI JHA,JRJP,U,1020,0.06,0.1
Bihar,Samastipur (SC),SHAMBHAVI,LJPRV,S,579786,31.86,54.6
Bihar,Samastipur (SC),AMRITA KUMARI,IND,Z,2852,0.16,0.27
Bihar,Khagaria (GEN),KANCHAN MALA,HNDPPD,U,1506,0.08,0.15
Bihar,Khagaria (GEN),RUPAM DEVI,IND,Z,27395,1.49,2.66
Bihar,Bhagalpur (GEN),POONAM SINGH,BSP,N,12646,0.64,1.23
Bihar,Munger (GEN),KUMARI ANITA,RJD,S,469276,22.87,42.01
Bihar,Nalanda (GEN),NISHA RANJAN,SAP,U,2415,0.11,0.21
Bihar,Nalanda (GEN),PUJA DEVI,IND,Z,1505,0.07,0.13
Bihar,Nalanda (GEN),SANYUKTA KUMARI,IND,Z,6238,0.27,0.55
Bihar,Patliputra (GEN),MISHA BHARTI,RJD,S,613283,29.48,50.08
Bihar,Patliputra (GEN),KHUSHBOO KUMARI,AKBRPRVP,U,1483,0.07,0.12
Bihar,Patliputra (GEN),MADHURI KUMARI,AIFB,S,1302,0.06,0.11
Bihar,Patliputra (GEN),VINDU DEVI,RJBP,U,10744,0.52,0.88
Haryana,HISAR (GEN),NAINA SINGH CHAUTALA,JNJP,S,22032,1.22,1.88
Haryana,HISAR (GEN),SUNAINA CHAUTALA,INLD,S,22303,1.24,1.91
Haryana,,MANISHA,IND,Z,431,0.02,0.03
Haryana,BHIWANI-MAHENDRAGARH (GEN),VARSHA,IND,Z,1053,0.06,0.09
Haryana,BHIWANI-MAHENDRAGARH (GEN),SEEMA,IND,Z,2979,0.16,0.25
Haryana,GURGAON (GEN),VANDNA GULIYA,RTORP,U,1000,0.04,0.06
Himachal Pradesh,,RAKHEE GUPTA,IND,Z,1051,0.08,0.1
Karnataka,Chikkodi (GEN),PRIYANKA SATISH JARKIHOLI,INC,N,713461,40.3,51.31
Karnataka,Bagalkot (GEN),SAMYUKTA SHIVANAND PATIL,INC,N,602640,33.29,45.86
Karnataka,Koppal (GEN),RAMZANBEE,AIUC,U,806,0.04,0.06
Karnataka,,RASHEEDA BEGUM,IMP,U,397,0.02,0.03
Karnataka,,SUNANDA KARIYAPPA SHIRHATTI,IND,Z,4707,0.26,0.34
Karnataka,Davanagere (GEN),GAYITHRI SIDDESHWARA,BJP,N,606965,35.5,46.08
Karnataka,Davanagere (GEN),DR. PRABHA MALLIKARJUN,INC,N,633059,37.03,48.06
Karnataka,Davanagere (GEN),G.M.GAYITRI SIDDESHI,IND,Z,2464,0.14,0.19
Karnataka,Davanagere (GEN),T.JABEENA AAPA,IND,Z,5128,0.3,0.39
Karnataka,Davanagere (GEN),TASLIM BANU,IND,Z,4141,0.24,0.31
Karnataka,Shimoga (GEN),GEETHA SHIVARAJKUMAR,INC,N,535006,30.51,38.97
Karnataka,Shimoga (GEN),POOJA N. ANNAIAH,IND,Z,3457,0.2,0.25
Karnataka,Chitradurga (SC),SUJATHA .D.,SUCI,U,1014,0.05,0.07
Karnataka,Chitradurga (SC),TULASI.H,IND,Z,1082,0.06,0.08
Karnataka,Tumkur (GEN),R. PUSHPA,IND,Z,629,0.04,0.05
Karnataka,Y.R.KALLESHWARI,NIRMALA H.L,SUCI,U,977,0.03,0.06
Karnataka,Y.R.KALLESHWARI,LAKSHMI SRIHARI.J.N.,IND,Z,2094,0.07,0.12
Karnataka,Y.R.KALLESHWARI,SHOBHA,IND,Z,1280,0.04,0.07
Karnataka,Y.R.KALLESHWARI,SUDHA. V,IND,Z,657,0.02,0.04
Karnataka,Bangalore central (GEN),ABHAYA SHEELA.,RTSMJD,U,635,0.03,0.05
Karnataka,Bangalore central (GEN),UMA. V.,IND,Z,827,0.03,0.06
Karnataka,Bangalore central (GEN),JAYALAKSHMI SUNDARA RAJAN,IND,Z,2761,0.11,0.21
Karnataka,Bangalore South (GEN),SOWMYA REDDY,INC,N,473747,20.23,38.16
Karnataka,Bangalore South (GEN),TINTISHA HEMACHANDRA SAGAR,IND,Z,1968,0.08,0.16
Karnataka,Bangalore South (GEN),TEJASWINI DHANANJAY,IND,Z,1150,0.05,0.09
Karnataka,Chikkballapur (GEN),KALAVATHI. N,SUCI,U,2744,0.14,0.18
"Kerala
1 Kasaragod (GEN)
1",Chikkballapur (GEN),SUKUMARI M,BSP,N,1612,0.11,0.15
"Kerala
1 Kasaragod (GEN)
1",Chikkballapur (GEN),RAJESWARI K.R,IND,Z,897,0.06,0.08
"Kerala
1 Kasaragod (GEN)
1",Vadakara (GEN),K.K. SHAILAJA TEACHER,CPI(M),N,443022,31.09,39.55
"Kerala
1 Kasaragod (GEN)
1",Vadakara (GEN),SYLAJA P. W/O KUNJIRAMAN,IND,Z,326,0.02,0.03
"Kerala
1 Kasaragod (GEN)
1",Vadakara (GEN),SHYLAJA W/O JAYAKRISHNAN,IND,Z,680,0.05,0.06
"Kerala
1 Kasaragod (GEN)
1",Vadakara (GEN),K.K. SHYLAJA W/O RAJAN,IND,Z,1179,0.08,0.11
"Kerala
1 Kasaragod (GEN)
1",Wayanad (GEN),ANNIE RAJA,CPI,S,283023,19.33,26.26
Madhya Pradesh,MORENA (GEN),RAJKUMARI,IND,Z,1441,0.07,0.12
Madhya Pradesh,BHIND (SC),SANDHYA RAY,BJP,N,537065,28.07,51.52
Madhya Pradesh,BHIND (SC),REKHA SHAKYA,IND,Z,2667,0.14,0.26
Madhya Pradesh,GWALIOR (GEN),ARCHANA SINGH RATHORE,RSPS,U,5892,0.27,0.44
Madhya Pradesh,GWALIOR (GEN),ANJALI MONU RAWAT,PRVPOI,U,1279,0.06,0.1
Madhya Pradesh,,LAXMI KUSHWAHA,PSPU,U,952,0.05,0.08
Madhya Pradesh,REWA (GEN),NEELAM ABHAY MISHRA,INC,N,284085,15.28,31.18
Madhya Pradesh,SIDHI (GEN),SMT. TARA DEVI SINGH,RTJSD,U,2707,0.13,0.24
Madhya Pradesh,SHAHDOL (ST),SMT. HIMADRI SINGH,BJP,N,711143,39.99,62.79
Madhya Pradesh,SHAHDOL (ST),DR. DURGA WATI BHARIA,cvgrp,U,3444,0.19,0.3
Madhya Pradesh,SHAHDOL (ST),KESHKALI BAIGA,IND,Z,10071,0.57,0.89
Madhya Pradesh,HOSHANGABAD (GEN),JYOTI SURESH JHARIYA,IND,Z,2046,0.11,0.17
Madhya Pradesh,VIDISHA (GEN),SEEMA SHARMA,SPAKP,U,1073,0.06,0.07
Madhya Pradesh,RATLAM (ST),ANITA NAGARSINGH CHOUHAN,BJP,N,795863,37.99,53.03
Madhya Pradesh,RATLAM (ST),SHEETAL BARELA,AKNDBRTSMR,U,3930,0.19,0.26
Maharashtra,Nandurbar (ST),DR HEENA VIJAYKUMAR GAVIT,BJP,N,586878,29.77,42.54
Maharashtra,Nandurbar (ST),NIRMALA VASAVE,PPID,U,6947,0.35,0.5
Maharashtra,Nandurbar (ST),GITANJALI SHASHIKANT KOLI,IND,Z,2381,0.12,0.17
Maharashtra,Dhule (GEN),BACHHAV SHOBHA DINESH,INC,N,583866,28.83,48.07
Maharashtra,Jalgaon (GEN),SMITA UDAY WAGH,BJP,N,674428,33.71,58.36
Maharashtra,Raver (GEN),KHADSE RAKSHA NIKHIL,BJP,N,630879,34.59,54.03
Maharashtra,Raver (GEN),KOMALBAI BAPURAO PATIL,IND,Z,1429,0.08,0.12
Maharashtra,Raver (GEN),MAMTA ALIAS MUMTAJ BHIKARI TADAVI,IND,Z,7884,0.43,0.68
Maharashtra,Buldhana (GEN),PROF SUMANTAI TIRPUDE,PPID,U,1511,0.08,0.14
Maharashtra,,SUSHAMA GAJANAN AWACHAR,JYVDRBP,U,659,0.04,0.06
Maharashtra,,TARA SURESH WANKHADE,IND,Z,527,0.03,0.05
Maharashtra,,VARSHA BHAGAWANTRAO BHAGAT,IND,Z,443,0.02,0.04
Maharashtra,,SUMITRA SAHEBRAO GAIKWAD,IND,Z,2690,0.15,0.23
Maharashtra,,ROSHANI ATUL GAJBHIYE,GGP,U,5137,0.25,0.41
Maharashtra,Nagpur (GEN),BABITA RAJU AWASTHI,IND,Z,182,0.01,0.02
Maharashtra,Chandrapur (GEN),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,INC,N,718410,39.05,58.39
Maharashtra,Chandrapur (GEN),PURNIMA DILIP GHONMODE,BARESP,U,973,0.05,0.08
Maharashtra,Chandrapur (GEN),VANITA JITENDRA RAUT,ABMP,U,1057,0.06,0.09
Maharashtra,Yavatmal- Washim (GEN),RAJSHRITAI HEMANT PATIL (MAHALLE),SHS,S,500334,25.76,41.14
Maharashtra,,RUKMINBAI SHANKARRAO GITE,BPSJP,U,903,0.05,0.08
Maharashtra,,SUSHILA NILKANTHRAO PAWAR,SMNKJP,U,1890,0.1,0.17
Maharashtra,,KALPANA SANJAY GAIKWAD,IND,Z,1310,0.07,0.12
Maharashtra,Parbhani (GEN),SANGEETA VYAKANTRAO GIRI,SSS,U,2339,0.11,0.18
Maharashtra,Aurangabad (GEN),PANCHASHILA BABULAL JADHAV,RBS,U,1274,0.06,0.1
Maharashtra,Aurangabad (GEN),PRATIKSHA PRASHANT CHAVAN,ARP,U,1194,0.06,0.09
Maharashtra,Aurangabad (GEN),MANISHA KHARAT,BAHUMP,U,3105,0.15,0.24
Maharashtra,Aurangabad (GEN),MEENASING AVDHESHSING SING,IND,Z,784,0.04,0.06
Maharashtra,,DHOMSE MALATI RAHUL,VBA,U,37103,2.0,3.01
Maharashtra,Nashik (GEN),JAYSHRI MAHENDRA PATIL,SaSP,U,2426,0.12,0.2
Maharashtra,Nashik (GEN),DARSHANA AMOL MEDHE,PRCP,U,4736,0.23,0.38
Maharashtra,Nashik (GEN),BHAGYASHRI NITIN ADSUL,INDPPLSADH,U,1244,0.06,0.1
Maharashtra,Nashik (GEN),TILOTTAMA SUNIL JAGTAP,IND,Z,656,0.03,0.05
Maharashtra,,VIJAYA RAJKUMAR MHATRE,VBA,U,10936,0.51,0.81
Maharashtra,,MEENA KISHOR BHAD,IND,Z,14235,0.66,1.05
Maharashtra,Bhiwandi (GEN),KANCHAN VINAYAK VAKHARE,NRSP,U,24625,1.18,1.98
Maharashtra,Bhiwandi (GEN),TARA PINTYA WAGHE,IND,Z,6908,0.33,0.56
Maharashtra,Bhiwandi (GEN),MANISHA SANTOSH GONDHALE,IND,Z,5120,0.25,0.41
Maharashtra,Bhiwandi (GEN),RANJANA RAVI TRIBHUWAN,IND,Z,1085,0.05,0.09
Maharashtra,,POONAM JAGANNATH BAISANE,BARESP,U,1381,0.07,0.13
Maharashtra,,SUSHILA KASHINATH KAMBLE,BSP(A),U,1858,0.09,0.18
Maharashtra,,ASHWINI AMOL KENDRE,IND,Z,2468,0.12,0.24
Maharashtra,,ARCHANA DINKAR GAIKWAD,IND,Z,1180,0.05,0.09
Maharashtra,Mumbai North West (GEN),SARIKA DABRAL,INGRP,U,768,0.04,0.08
Maharashtra,Mumbai North West (GEN),ADV. LATA PANDURANG SHINDE,IND,Z,1154,0.07,0.12
Maharashtra,Mumbai North West (GEN),SUSHMA DAYANAND MEHTA,IND,Z,882,0.05,0.09
Maharashtra,Mumbai North West (GEN),HRUDA DHANANJAY SHINDE,IND,Z,1078,0.06,0.11
Maharashtra,Mumbai North Central (GEN),GAIKWAD VARSHA EKNATH,INC,N,445545,25.54,49.46
Maharashtra,Mumbai North Central (GEN),HARSHADA BABURAV JADHAV,MVA,U,690,0.04,0.08
Maharashtra,Mumbai North Central (GEN),NAZMAKHATHUN MOHAMMED ZAFAR KHAN,IND,Z,732,0.04,0.08
Maharashtra,Mumbai North Central (GEN),RAMA ARUN SABLE,IND,Z,636,0.04,0.07
Maharashtra,Mumbai South (GEN),YAMINI YASHWANT JADHAV,SHS,S,342982,22.32,45.15
Maharashtra,Mumbai South (GEN),GOHIL MANISHA SHIVRAM,IND,Z,1045,0.07,0.14
Maharashtra,,ANJANI ASHWIN KELKAR,IND,Z,1350,0.08,0.14
Maharashtra,Maval (GEN),MADHAVITAI NARESH JOSHI,VBA,U,27768,1.07,1.98
Maharashtra,Pune (GEN),VIJAYALAXMI SHRIKANT SINDAGI,RASMARP,U,240,0.01,0.02
Maharashtra,Pune (GEN),ASHWINI PRATIBHA KHAIRNAR,IND,Z,415,0.02,0.04
Maharashtra,Pune (GEN),DR. DEVYANI PANDIT,IND,Z,650,0.03,0.06
Maharashtra,Baramati (GEN),PRIYADARSHANI NANDKUMAR KOKARE,BSP,N,10030,0.42,0.71
Maharashtra,Baramati (GEN),SUNETRA AJITDADA PAWAR,NCP,S,573979,24.17,40.91
Maharashtra,Baramati (GEN),SUPRIYA SULE,NCPSP,S,732312,30.84,52.19
Maharashtra,Baramati (GEN),KAMBLE TRISHALA,BSP(A),U,5036,0.21,0.36
Maharashtra,Baramati (GEN),SAVITA BHIMRAO KADALE,HJP,U,551,0.02,0.04
Maharashtra,Baramati (GEN),KALYANI SUJITKUMAR WAGHMODE,IND,Z,1975,0.08,0.14
Maharashtra,Baramati (GEN),SHUBHANGI DHAYGUDE,IND,Z,1292,0.05,0.09
Maharashtra,Beed (GEN),PANKAJA GOPINATHRAO MUNDE,BJP,N,677397,31.55,44.56
Maharashtra,Beed (GEN),KARUNA DHANANJAY MUNDE,SSS,U,1599,0.07,0.11
Maharashtra,Beed (GEN),LAXMIBAI BAJIRAO MORE,IND,Z,382,0.02,0.03
Maharashtra,Beed (GEN),SHITAL SHIVAJI DHONDRE,IND,Z,1303,0.06,0.09
Maharashtra,Latur (SC),ATITHI KHANDERAO SURYVANSHI,SSS,U,5178,0.26,0.42
Maharashtra,Satara (GEN),PRATIBHA SHELAR,IND,Z,1123,0.06,0.09
Maharashtra,Satara (GEN),SEEMA SUNIL POTDAR,IND,Z,3458,0.18,0.29
Maharashtra,Kolhapur (GEN),KRUSHNABAI DIPAK CHOUGALE,IND,Z,3063,0.16,0.22
Maharashtra,Kolhapur (GEN),MADHURI RAJU JADHAV,IND,Z,3508,0.18,0.25
Meghalaya,Shillong (ST),DR. MAZEL AMPAREEN LYNGDOH,NPEP,N,186488,13.29,18.16
Meghalaya,Tura (ST),AGATHA K SANGMA,NPEP,N,228678,27.63,34.22
Mizoram,MIZORAM (ST),RITA MALSAWMI,MPC,U,3793,0.44,0.77
"Odisha
1 Bargarh (GEN)
2",MIZORAM (ST),DEVIKA SIKA,NAPt,U,4538,0.28,0.35
"Odisha
1 Bargarh (GEN)
2",Mayurbhanj (ST),ANJANI SOREN,JMM,S,135399,8.76,11.73
"Odisha
1 Bargarh (GEN)
2",Mayurbhanj (ST),SANTILATA CHATTAR,IND,Z,8477,0.55,0.73
"Odisha
1 Bargarh (GEN)
2",Balasore (GEN),LEKHASRI SAMANTSINGHAR,BJD,S,416335,25.86,33.81
"Odisha
1 Bargarh (GEN)
2",Bhadrak (SC),MANJULATA MANDAL,BJD,S,481775,27.16,37.29
"Odisha
1 Bargarh (GEN)
2",Jajpur (SC),SARMISTHA SETHI,BJD,S,532652,34.4,46.14
"Odisha
1 Bargarh (GEN)
2",Jajpur (SC),ER. SANDHYA RANI MALLICK,BSP,N,3218,0.21,0.28
"Odisha
1 Bargarh (GEN)
2",Jajpur (SC),JHUNA MALIK,MLD,U,2077,0.13,0.18
"Odisha
1 Bargarh (GEN)
2",Dhenkanal (GEN),SASHMITA BEHERA,INC,N,34730,2.26,2.95
"Odisha
1 Bargarh (GEN)
2",Dhenkanal (GEN),MANASI SWAIN,SUCI,U,3384,0.22,0.29
"Odisha
1 Bargarh (GEN)
2",Dhenkanal (GEN),SWAPNA RANI JAMES,US,U,1608,0.1,0.14
"Odisha
1 Bargarh (GEN)
2",Bolangir (GEN),SANGEETA KUMARI SINGH DEO,BJP,N,617744,34.25,44.63
"Odisha
1 Bargarh (GEN)
2",Kalahandi (GEN),DROUPADI MAJHI,INC,N,303199,17.81,23.07
"Odisha
1 Bargarh (GEN)
2",Kalahandi (GEN),MALVIKA DEVI,BJP,N,544303,31.98,41.41
"Odisha
1 Bargarh (GEN)
2",Kandhamal (GEN),KANAK MANJARI RATH,IND,Z,5205,0.39,0.53
"Odisha
1 Bargarh (GEN)
2",Cuttack (GEN),MINATI PATNAIK,SAMO,U,1251,0.08,0.11
"Odisha
1 Bargarh (GEN)
2",Cuttack (GEN),SOBHA PANDEY,IND,Z,3888,0.25,0.35
"Odisha
1 Bargarh (GEN)
2",DR. RAJASHREE MALLICK,BHANUMATI DAS,US,U,677,0.04,0.05
"Odisha
1 Bargarh (GEN)
2",Bhubaneswar (GEN),APARAJITA SARANGI,BJP,N,512519,30.6,47.72
"Odisha
1 Bargarh (GEN)
2",Bhubaneswar (GEN),SANTILATA ROUT,SZPB,U,1441,0.09,0.13
"Odisha
1 Bargarh (GEN)
2",,RANJITA SAHU,BJD,S,394252,24.29,39.58
"Odisha
1 Bargarh (GEN)
2",,DAMINI JANI,BSP,N,15413,1.04,1.39
"Odisha
1 Bargarh (GEN)
2",,PRAMILA PUJARI,SUCI,U,4867,0.33,0.44
"Odisha
1 Bargarh (GEN)
2",,SUMAN KANTA,NBBHNRSVP,U,8387,0.57,0.76
Punjab,Gurdaspur (GEN),SANTOSH KUMARI,MEDP,U,1194,0.07,0.11
Punjab,Gurdaspur (GEN),SANTOSH KAUR,IND,Z,4738,0.29,0.44
Punjab,,NARINDER KAUR,AJPI,U,1097,0.07,0.12
Punjab,,SHARANJIT KAUR,IND,Z,2460,0.15,0.27
Punjab,,RAJWANT KAUR KHALSA,ASJP,U,952,0.06,0.1
Punjab,,PARAMJIT KAUR TEJI,IND,Z,500,0.03,0.05
